split_scheme,seed,feature_level,partition,class,precision,recall,f1_score,support
Spatial,62,C,validation,NORMAL,0.6766169154228856,0.24772313296903462,0.3626666666666667,549.0
Spatial,62,C,validation,ACCIDENT,0.12590799031476999,0.6190476190476191,0.20925553319919518,84.0
Spatial,62,C,validation,OTHER_DISRUPTION,0.234375,0.26011560693641617,0.2465753424657534,173.0
Spatial,62,C,test,NORMAL,0.6627906976744186,0.22135922330097088,0.3318777292576419,515.0
Spatial,62,C,test,ACCIDENT,0.10328638497652583,0.2972972972972973,0.15331010452961671,74.0
Spatial,62,C,test,OTHER_DISRUPTION,0.23180592991913745,0.5149700598802395,0.31970260223048325,167.0
Spatial,42,D,train,NORMAL,0.681875,0.43345252284465635,0.5299975710468788,2517.0
Spatial,42,D,train,ACCIDENT,0.10748898678414097,0.3515850144092219,0.16464237516869096,347.0
Spatial,42,D,train,OTHER_DISRUPTION,0.25206611570247933,0.2908224076281287,0.27006087437742116,839.0
Spatial,42,D,validation,NORMAL,0.711038961038961,0.3989071038251366,0.5110851808634772,549.0
Spatial,42,D,validation,ACCIDENT,0.10267857142857142,0.27380952380952384,0.14935064935064934,84.0
Spatial,42,D,validation,OTHER_DISRUPTION,0.25547445255474455,0.4046242774566474,0.3131991051454139,173.0
Spatial,42,D,test,NORMAL,0.708092485549133,0.47572815533980584,0.5691056910569106,515.0
Spatial,42,D,test,ACCIDENT,0.13135593220338984,0.4189189189189189,0.2,74.0
Spatial,42,D,test,OTHER_DISRUPTION,0.25862068965517243,0.2694610778443114,0.26392961876832843,167.0
Spatial,52,D,train,NORMAL,0.7148120854826824,0.38537941994437824,0.500774393391843,2517.0
Spatial,52,D,train,ACCIDENT,0.12431941923774954,0.39481268011527376,0.189095928226363,347.0
Spatial,52,D,train,OTHER_DISRUPTION,0.27491961414790994,0.40762812872467225,0.328372539606337,839.0
Spatial,52,D,validation,NORMAL,0.6906077348066298,0.4553734061930783,0.5488474204171241,549.0
Spatial,52,D,validation,ACCIDENT,0.08085106382978724,0.2261904761904762,0.11912225705329153,84.0
Spatial,52,D,validation,OTHER_DISRUPTION,0.2679425837320574,0.3236994219653179,0.2931937172774869,173.0
Spatial,52,D,test,NORMAL,0.7142857142857143,0.5242718446601942,0.6047032474804032,515.0
Spatial,52,D,test,ACCIDENT,0.1032258064516129,0.21621621621621623,0.13973799126637554,74.0
Spatial,52,D,test,OTHER_DISRUPTION,0.242152466367713,0.32335329341317365,0.27692307692307694,167.0
Spatial,62,D,train,NORMAL,0.6823324630113142,0.31148192292411603,0.4277141298417894,2517.0
Spatial,62,D,train,ACCIDENT,0.10719874804381847,0.39481268011527376,0.1686153846153846,347.0
Spatial,62,D,train,OTHER_DISRUPTION,0.23119122257053293,0.35160905840286055,0.2789598108747045,839.0
Spatial,62,D,validation,NORMAL,0.6643598615916955,0.34972677595628415,0.45823389021479716,549.0
Spatial,62,D,validation,ACCIDENT,0.10658307210031348,0.40476190476190477,0.1687344913151365,84.0
Spatial,62,D,validation,OTHER_DISRUPTION,0.22727272727272727,0.26011560693641617,0.24258760107816713,173.0
Spatial,62,D,test,NORMAL,0.6940639269406392,0.29514563106796116,0.4141689373297003,515.0
Spatial,62,D,test,ACCIDENT,0.14285714285714285,0.33783783783783783,0.20080321285140562,74.0
Spatial,62,D,test,OTHER_DISRUPTION,0.24861878453038674,0.5389221556886228,0.34026465028355385,167.0
