match_key,station_key,date,associated_parent_station_id,hour_str,flow,hour_int,flow_dt
15334016,15334016,2025-01-27 00:00:00+00,34016,hour_00,224.0,0,2025-01-27 00:00:00
17126149,17126149,2025-01-27 00:00:00+00,7126,hour_00,8.0,0,2025-01-27 00:00:00
18479658,18479658,2025-01-27 00:00:00+00,9658,hour_00,55.0,0,2025-01-27 00:00:00
15334016,15334016,2025-01-27 00:00:00+00,34016,hour_00,8.0,0,2025-01-27 00:00:00
17126148,17126148,2025-01-27 00:00:00+00,7126,hour_00,8.0,0,2025-01-27 00:00:00
17126148,17126148,2025-01-27 00:00:00+00,7126,hour_00,19.0,0,2025-01-27 00:00:00
17126147,17126147,2025-01-27 00:00:00+00,7126,hour_00,3.0,0,2025-01-27 00:00:00
18479658,18479658,2025-01-27 00:00:00+00,9658,hour_00,,0,2025-01-27 00:00:00
18479658,18479658,2025-01-27 00:00:00+00,9658,hour_00,76.0,0,2025-01-27 00:00:00
18479658,18479658,2025-01-27 00:00:00+00,9658,hour_00,3.0,0,2025-01-27 00:00:00
17126147,17126147,2025-01-27 00:00:00+00,7126,hour_00,5.0,0,2025-01-27 00:00:00
17126149,17126149,2025-01-27 00:00:00+00,7126,hour_00,325.0,0,2025-01-27 00:00:00
15334016,15334016,2025-01-28 00:00:00+00,34016,hour_00,55.0,0,2025-01-28 00:00:00
17126147,17126147,2025-01-28 00:00:00+00,7126,hour_00,3.0,0,2025-01-28 00:00:00
17126149,17126149,2025-01-28 00:00:00+00,7126,hour_00,10.0,0,2025-01-28 00:00:00
18479658,18479658,2025-01-28 00:00:00+00,9658,hour_00,20.0,0,2025-01-28 00:00:00
17126147,17126147,2025-01-28 00:00:00+00,7126,hour_00,5.0,0,2025-01-28 00:00:00
17126147,17126147,2025-01-28 00:00:00+00,7126,hour_00,1.0,0,2025-01-28 00:00:00
15334016,15334016,2025-01-28 00:00:00+00,34016,hour_00,6.0,0,2025-01-28 00:00:00
18479658,18479658,2025-01-28 00:00:00+00,9658,hour_00,4.0,0,2025-01-28 00:00:00
17126149,17126149,2025-01-28 00:00:00+00,7126,hour_00,95.0,0,2025-01-28 00:00:00
17126147,17126147,2025-01-28 00:00:00+00,7126,hour_00,11.0,0,2025-01-28 00:00:00
18479658,18479658,2025-01-28 00:00:00+00,9658,hour_00,35.0,0,2025-01-28 00:00:00
18479658,18479658,2025-01-28 00:00:00+00,9658,hour_00,6.0,0,2025-01-28 00:00:00
18479658,18479658,2025-01-29 00:00:00+00,9658,hour_00,2.0,0,2025-01-29 00:00:00
17126147,17126147,2025-01-29 00:00:00+00,7126,hour_00,10.0,0,2025-01-29 00:00:00
17126149,17126149,2025-01-29 00:00:00+00,7126,hour_00,10.0,0,2025-01-29 00:00:00
17126147,17126147,2025-01-29 00:00:00+00,7126,hour_00,4.0,0,2025-01-29 00:00:00
18479658,18479658,2025-01-29 00:00:00+00,9658,hour_00,,0,2025-01-29 00:00:00
17126147,17126147,2025-01-29 00:00:00+00,7126,hour_00,8.0,0,2025-01-29 00:00:00
17126148,17126148,2025-01-29 00:00:00+00,7126,hour_00,,0,2025-01-29 00:00:00
17126148,17126148,2025-01-29 00:00:00+00,7126,hour_00,,0,2025-01-29 00:00:00
15334016,15334016,2025-01-29 00:00:00+00,34016,hour_00,4.0,0,2025-01-29 00:00:00
17126149,17126149,2025-01-29 00:00:00+00,7126,hour_00,117.0,0,2025-01-29 00:00:00
18479658,18479658,2025-01-29 00:00:00+00,9658,hour_00,9.0,0,2025-01-29 00:00:00
15334016,15334016,2025-01-29 00:00:00+00,34016,hour_00,69.0,0,2025-01-29 00:00:00
17126147,17126147,2025-01-29 00:00:00+00,7126,hour_00,6.0,0,2025-01-29 00:00:00
15334016,15334016,2025-01-30 00:00:00+00,34016,hour_00,91.0,0,2025-01-30 00:00:00
17126149,17126149,2025-01-30 00:00:00+00,7126,hour_00,2.0,0,2025-01-30 00:00:00
18479658,18479658,2025-01-30 00:00:00+00,9658,hour_00,1.0,0,2025-01-30 00:00:00
17126147,17126147,2025-01-30 00:00:00+00,7126,hour_00,11.0,0,2025-01-30 00:00:00
17126148,17126148,2025-01-30 00:00:00+00,7126,hour_00,15.0,0,2025-01-30 00:00:00
15334016,15334016,2025-01-30 00:00:00+00,34016,hour_00,7.0,0,2025-01-30 00:00:00
17126147,17126147,2025-01-30 00:00:00+00,7126,hour_00,1.0,0,2025-01-30 00:00:00
17126147,17126147,2025-01-30 00:00:00+00,7126,hour_00,1.0,0,2025-01-30 00:00:00
17126149,17126149,2025-01-30 00:00:00+00,7126,hour_00,65.0,0,2025-01-30 00:00:00
17126148,17126148,2025-01-30 00:00:00+00,7126,hour_00,76.0,0,2025-01-30 00:00:00
18479658,18479658,2025-01-30 00:00:00+00,9658,hour_00,4.0,0,2025-01-30 00:00:00
17126147,17126147,2025-01-30 00:00:00+00,7126,hour_00,12.0,0,2025-01-30 00:00:00
18479658,18479658,2025-01-31 00:00:00+00,9658,hour_00,39.0,0,2025-01-31 00:00:00
17126149,17126149,2025-01-31 00:00:00+00,7126,hour_00,,0,2025-01-31 00:00:00
15334016,15334016,2025-01-31 00:00:00+00,34016,hour_00,107.0,0,2025-01-31 00:00:00
57159,57159,2025-01-31 00:00:00+00,7159,hour_00,,0,2025-01-31 00:00:00
15334016,15334016,2025-01-31 00:00:00+00,34016,hour_00,9.0,0,2025-01-31 00:00:00
57159,57159,2025-01-31 00:00:00+00,7159,hour_00,,0,2025-01-31 00:00:00
17126149,17126149,2025-01-31 00:00:00+00,7126,hour_00,,0,2025-01-31 00:00:00
57159,57159,2025-01-31 00:00:00+00,7159,hour_00,,0,2025-01-31 00:00:00
